CustomerID,Region,Gender,Age,Education_Years,Employment_Years,Job_Category,Retired,Marital_Status,Household_Size,Household_Income,Number_Pets,Home_Owner,Car_Ownership,Car_Brand,Car_Value,Commute_Distance,Political_Party,Votes,Credit_Card,Credit_Card_Tenure,Active_Lifestyle,TV_Watching_Hours,Streaming_Svcs,Wireless_Internet,Smart_Phone,Twitter_Acct,LinkedIn_Acct,Facebook_Acct,News_Subscriber,Coupon_Redemption,Brand_Tenure_Months,Monthly_Spend_ProductA,Cumulative_Spend_ProductA,Monthly_Spend_ProductB,Cumulative_Spend_ProductB,Monthly_Spend_ProductC,Cumulative_Spend_ProductC,Total_Avg_Monthly_Spend,High_Value_Customer
0002-GTOKLU-YVY,5,Male,63,16,3,Sales,0,Married,2,122000.0,3,1,Own,Domestic,26000,24,0,1,Amex,11,0,18,1,1,1,1,1,1,0,0,21,20.6,84.92,147.6,602.92,176.5,790.02,344.7,1
0003-RLTRGE-IW2,1,Male,52,11,14,Professional,0,Unmarried,1,170000.0,2,1,Own,Domestic,43100,27,0,0,Amex,15,0,20,0,1,0,1,1,0,0,0,31,46.2,304.28,0.0,0.0,107.25,746.28,153.45,0
0003-UTGKPR-PRU,2,Male,73,14,11,Professional,0,Unmarried,1,78000.0,0,1,Lease,Domestic,10000,41,1,0,Visa,31,0,13,0,0,0,0,0,0,1,0,54,65.2,703.88,0.0,0.0,0.0,0.0,65.2,0
0012-CIVYLF-839,4,Male,40,12,9,Labor,0,Married,2,126000.0,0,1,Own,Domestic,39300,35,0,0,Disc,17,0,17,0,0,0,0,0,0,0,0,48,46.6,495.2,0.0,0.0,0.0,0.0,46.6,0
0014-DOIOFX-LXB,2,Female,37,12,10,Crafts,0,Married,4,74000.0,0,1,Own,Domestic,15800,25,0,1,Amex,19,0,19,0,0,0,0,0,1,1,0,59,93.6,1175.76,0.0,0.0,0.0,0.0,93.6,0
0016-KTTUQR-TJY,2,Male,47,16,11,Professional,0,Married,3,90000.0,7,1,Own,Domestic,29100,24,0,0,Visa,29,0,17,0,0,0,0,0,0,1,1,54,46.4,503.8,0.0,0.0,0.0,0.0,46.4,0
0016-XBFXXW-2G0,4,Female,19,14,0,Professional,0,Married,3,40000.0,2,1,Own,Foreign,10900,28,0,1,Visa,1,1,26,1,0,0,0,0,1,0,0,22,22.6,101.48,107.8,435.16,0.0,0.0,130.4,0
0016-YQHYTA-32U,5,Female,27,16,3,Professional,0,Married,4,144000.0,2,1,Own,Domestic,17000,21,0,1,Visa,9,0,21,0,1,1,1,1,1,0,0,47,28.4,264.96,0.0,0.0,186.75,2119.14,215.15,0
0017-SYHARA-8BI,1,Male,50,20,15,Agriculture,0,Married,4,228000.0,2,1,Own,Domestic,77700,25,1,1,Disc,19,0,22,1,0,0,0,0,1,0,0,38,24.0,171.64,159.2,1257.6,0.0,0.0,183.2,0
0022-UFDRNE-TAW,5,Male,28,19,0,Sales,0,Unmarried,3,84000.0,9,0,Own,Domestic,23400,29,0,1,Visa,5,1,10,1,1,0,1,1,1,0,0,14,24.8,67.8,129.6,346.64,105.0,333.54,259.4,0
