CustomerID,Region,Gender,Age,Education_Years,Employment_Years,Job_Category,Retired,Marital_Status,Household_Size,Household_Income,Number_Pets,Home_Owner,Car_Ownership,Car_Brand,Car_Value,Commute_Distance,Political_Party,Votes,Credit_Card,Credit_Card_Tenure,Active_Lifestyle,TV_Watching_Hours,Streaming_Svcs,Wireless_Internet,Smart_Phone,Twitter_Acct,LinkedIn_Acct,Facebook_Acct,News_Subscriber,Coupon_Redemption,Brand_Tenure_Months,Monthly_Spend_ProductA,Cumulative_Spend_ProductA,Monthly_Spend_ProductB,Cumulative_Spend_ProductB,Monthly_Spend_ProductC,Cumulative_Spend_ProductC,Total_Avg_Monthly_Spend,High_Value_Customer,Invalid_Reasons
0008-ZIQQOT-SGB,3,Female,40,21,3,Sales,0,Married,3,138000.0,8,1,Own,Domestic,66200,16,1,1,Amex,1,1,24,1,1,1,1,1,1,0,0,1,8.6,1.72,171.2,34.24,150.25,36.06,330.05,1,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0014-SHVSIE-LP9,3,Male,39,19,8,Professional,0,Unmarried,3,184000.0,0,1,Nocar,Nan,0,20,0,1,Mast,7,1,7,1,1,1,1,1,1,0,0,28,29.6,160.88,222.0,1189.6,295.0,1893.6,546.6,1,Car_Value below threshold
0022-QFOJNN-XSH,3,Male,39,13,4,Sales,0,Married,3,84000.0,10,1,Own,Domestic,22900,31,0,0,Mast,2,0,24,1,1,1,1,1,0,0,0,3,16.8,11.24,128.4,50.84,110.0,38.28,255.2,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0023-WKLZQN-M6X,5,Female,35,17,2,Sales,0,Married,2,102000.0,2,0,Own,Domestic,26100,20,0,0,Visa,1,1,18,0,1,1,0,1,1,0,1,2,10.8,4.56,0.0,0.0,130.75,42.3,141.55,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductC
0031-PLCHXI-LOA,3,Male,27,18,0,Sales,0,Unmarried,1,42000.0,16,1,Nocar,Nan,0,37,1,0,Visa,9,1,19,0,0,1,1,1,0,1,0,35,22.4,155.12,0.0,0.0,0.0,0.0,22.4,0,Car_Value below threshold
0038-LEEHSR-PWO,3,Male,53,19,10,Professional,0,Unmarried,1,172000.0,4,1,Nocar,Nan,0,21,1,1,Disc,30,0,20,1,1,1,1,1,1,1,0,66,34.6,487.0,196.4,2582.56,365.5,5771.28,596.5,1,Car_Value below threshold
0046-IBWRNV-OP7,4,Male,39,15,3,Sales,0,Married,4,56000.0,0,1,Nocar,Nan,0,35,1,1,Amex,16,1,19,0,0,0,0,1,0,0,0,35,53.8,380.8,0.0,0.0,0.0,0.0,53.8,0,Car_Value below threshold
0049-ZDULPT-RP6,3,Male,25,17,1,Crafts,0,Married,4,46000.0,0,1,Own,Domestic,10200,18,0,0,Amex,1,0,0,1,1,0,1,0,1,0,0,1,9.0,1.8,129.0,25.8,122.75,29.46,260.75,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0050-VSGLEA-9NB,4,Male,39,14,5,Sales,0,Unmarried,1,132000.0,2,1,Own,Domestic,24400,19,1,1,Mast,1,0,20,0,0,1,1,1,0,0,0,4,10.4,8.36,0.0,0.0,0.0,0.0,10.4,0,Cumulative < Monthly for ProductA
0054-HCDCVL-L8L,2,Female,25,15,0,Professional,0,Married,4,60000.0,0,1,Own,Foreign,11700,18,1,1,Visa,1,0,25,1,1,1,1,1,1,0,0,1,7.4,1.48,147.2,29.44,115.75,27.78,270.35,0,Cumulative < Monthly for ProductA; Cumulative < Monthly for ProductB; Cumulative < Monthly for ProductC
0054-JUDZVU-3JR,3,Male,28,9,2,Sales,0,Married,4,40000.0,0,1,Nocar,Nan,0,29,0,0,Disc,7,0,18,0,0,0,1,1,0,0,0,20,34.2,118.56,0.0,0.0,0.0,0.0,34.2,0,Car_Value below threshold
