CustomerID,Region,Gender,Age,Education Years,Employment Years,Job Category,Retired,Marital Status,Household Size,Household Income,umber Pets,Home Owner,Car Ownership,Car Brand,Car Value,Commute Distance,Political Party,Votes,Credit Card,Credit Card Tenure,Active Lifestyle,TV Watching Hours,Streaming Svcs,Wireless Internet,Smart Phone,Twitter Acct,LinkedIn Acct,Facebook Acct,News Subscriber,Coupon Redemption,Brand Tenure Months,Monthly Spend ProductA,Cumulative Spend ProductA,Monthly Spend ProductB,Cumulative Spend ProductB,Monthly Spend ProductC,Cumulative Spend ProductC,Total Avg Monthly Spend,High Value Customer
0002-GTOKLU-YVY,5,Male,63,16,3,Sales,No,Married,2,"$122,000.00",3,1,Own,Domestic,"$26,000",24,No,Yes,AMEX,11,No,18,Yes,Yes,Yes,Yes,Yes,Yes,No,0,21,$20.60,$84.92,$147.60,$602.92,$176.50,$790.02,$344.70,1
0003-RLTRGE-IW2,1,Male,52,11,14,Professional,No,Unmarried,1,"$170,000.00",2,1,Own,Domestic,"$43,100",27,No,No,AMEX,15,No,20,No,Yes,No,Yes,Yes,No,No,0,31,$46.20,$304.28,$0.00,$0.00,$107.25,$746.28,$153.45,0
0003-UTGKPR-PRU,2,Male,73,14,11,Professional,No,Unmarried,1,"$78,000.00",0,1,Lease,Domestic,"$10,000",41,Yes,No,Visa,31,No,13,No,No,No,No,No,No,Yes,0,54,$65.20,$703.88,$0.00,$0.00,$0.00,$0.00,$65.20,0
0008-ZIQQOT-SGB,3,Female,40,21,3,Sales,No,Married,3,"$138,000.00",8,1,Own,Domestic,"$66,200",16,Yes,Yes,AMEX,1,Yes,24,Yes,Yes,Yes,Yes,Yes,Yes,No,0,1,$8.60,$1.72,$171.20,$34.24,$150.25,$36.06,$330.05,1
0012-CIVYLF-839,4,Male,40,12,9,Labor,No,Married,2,"$126,000.00",0,1,Own,Domestic,"$39,300",35,No,No,Disc,17,No,17,No,No,No,No,No,No,No,0,48,$46.60,$495.20,$0.00,$0.00,$0.00,$0.00,$46.60,0
0014-DOIOFX-LXB,2,Female,37,12,10,Crafts,No,Married,4,"$74,000.00",0,1,Own,Domestic,"$15,800",25,No,Yes,AMEX,19,No,19,No,No,No,No,No,Yes,Yes,0,59,$93.60,"$1,175.76",$0.00,$0.00,$0.00,$0.00,$93.60,0
0014-SHVSIE-LP9,3,Male,39,19,8,Professional,No,Unmarried,3,"$184,000.00",0,1,NoCar,N/A,$0,20,No,Yes,Mast,7,Yes,7,Yes,Yes,Yes,Yes,Yes,Yes,No,0,28,$29.60,$160.88,$222.00,"$1,189.60",$295.00,"$1,893.60",$546.60,1
0016-KTTUQR-TJY,2,Male,47,16,11,Professional,No,Married,3,"$90,000.00",7,1,Own,Domestic,"$29,100",24,No,No,Visa,29,No,17,No,No,No,No,No,No,Yes,1,54,$46.40,$503.80,$0.00,$0.00,$0.00,$0.00,$46.40,0
0016-XBFXXW-2G0,4,Female,19,14,0,Professional,No,Married,3,"$40,000.00",2,1,Own,Foreign,"$10,900",28,No,Yes,Visa,1,Yes,26,Yes,No,No,No,No,Yes,No,0,22,$22.60,$101.48,$107.80,$435.16,$0.00,$0.00,$130.40,0
0016-YQHYTA-32U,5,Female,27,16,3,Professional,No,Married,4,"$144,000.00",2,1,Own,Domestic,"$17,000",21,No,Yes,Visa,9,No,21,No,Yes,Yes,Yes,Yes,Yes,No,0,47,$28.40,$264.96,$0.00,$0.00,$186.75,"$2,119.14",$215.15,0
